movie_name,year_released,runtime_in_min,genre,revenues,imdb_rating,user_votes,director,actor
Star Trek Beyond,2016,122,"Action, Adventure, Sci-Fi",158848340.0,7.1,221232,Christopher Nolan,"Fionn Whitehead, Barry Keoghan, Mark Rylance, Tom Hardy"
The Conjuring 2,2016,134,"Horror, Mystery, Thriller",102470008.0,7.3,215353,Jon Watts,"Tom Holland, Michael Keaton, Robert Downey Jr., Marisa Tomei"
Don't Breathe,2016,88,"Crime, Horror, Thriller",89217875.0,7.1,209052,Jordan Peele,"Daniel Kaluuya, Allison Williams, Bradley Whitford, Catherine Keener"
Lion,2016,118,"Biography, Drama",51739495.0,8.0,203741,Andy Muschietti,"Bill Skarsgård, Jaeden Martell, Finn Wolfhard, Sophia Lillis"
Jason Bourne,2016,123,"Action, Thriller",162434410.0,6.6,202238,Denis Villeneuve,"Harrison Ford, Ryan Gosling, Ana de Armas, Dave Bautista"
Ghostbusters,2016,116,"Action, Comedy, Fantasy",128344089.0,5.2,198293,Edgar Wright,"Ansel Elgort, Jon Bernthal, Jon Hamm, Eiza González"
Me Before You,2016,106,"Drama, Romance",56245075.0,7.4,196882,Martin McDonagh,"Frances McDormand, Woody Harrelson, Sam Rockwell, Caleb Landry Jones"
Hell or High Water,2016,102,"Action, Crime, Drama",26862450.0,7.6,195340,Zack Snyder,"Ben Affleck, Gal Gadot, Jason Momoa, Ezra Miller"
Hidden Figures,2016,127,"Biography, Drama, History",169607287.0,7.8,190524,Guillermo del Toro,"Sally Hawkins, Octavia Spencer, Michael Shannon, Doug Jones"
Assassin's Creed,2016,115,"Action, Adventure, Sci-Fi",54647948.0,5.7,179617,"Lee Unkrich, Adrian Molina","Anthony Gonzalez, Gael García Bernal, Benjamin Bratt, Alanna Ubach"
The Magnificent Seven,2016,132,"Action, Adventure, Western",93432655.0,6.9,179568,Jake Kasdan,"Dwayne Johnson, Karen Gillan, Kevin Hart, Jack Black"
Captain Fantastic,2016,118,"Comedy, Drama",5875006.0,7.9,179290,Bill Condon,"Emma Watson, Dan Stevens, Luke Evans, Josh Gad"
The Secret Life of Pets,2016,87,"Animation, Adventure, Comedy",368384330.0,6.5,177782,Jordan Vogt-Roberts,"Tom Hiddleston, Samuel L. Jackson, Brie Larson, John C. Reilly"
Kimi no na wa.,2016,106,"Animation, Drama, Fantasy",5017246.0,8.4,172079,Matthew Vaughn,"Taron Egerton, Colin Firth, Mark Strong, Channing Tatum"
Sausage Party,2016,89,"Animation, Adventure, Comedy",97685686.0,6.1,170335,"Joachim Rønning, Espen Sandberg","Johnny Depp, Geoffrey Rush, Javier Bardem, Orlando Bloom"
War Dogs,2016,114,"Biography, Comedy, Crime",43034523.0,7.1,169880,Ridley Scott,"Michael Fassbender, Katherine Waterston, Billy Crudup, Danny McBride"
The Girl on the Train,2016,112,"Crime, Drama, Mystery",75395035.0,6.5,163250,Michael Gracey,"Hugh Jackman, Michelle Williams, Zac Efron, Zendaya"
Independence Day: Resurgence,2016,120,"Action, Adventure, Sci-Fi",103144286.0,5.2,162345,Matt Reeves,"Andy Serkis, Woody Harrelson, Steve Zahn, Karin Konoval"
The Legend of Tarzan,2016,110,"Action, Adventure, Drama",126643061.0,6.2,159330,Kenneth Branagh,"Kenneth Branagh, Penélope Cruz, Willem Dafoe, Judi Dench"
Central Intelligence,2016,107,"Action, Comedy, Crime",127440871.0,6.3,152967,Daniel Espinosa,"Jake Gyllenhaal, Rebecca Ferguson, Ryan Reynolds, Hiroyuki Sanada"
Logan,2017,137,"Action, Drama, Sci-Fi",226277068.0,8.1,619868,Ruben Fleischer,"Tom Hardy, Michelle Williams, Riz Ahmed, Scott Haze"
Thor: Ragnarok,2017,130,"Action, Adventure, Comedy",315058289.0,7.9,556009,Peter Farrelly,"Viggo Mortensen, Mahershala Ali, Linda Cardellini, Sebastian Maniscalco"
Guardians of the Galaxy Vol. 2,2017,136,"Action, Adventure, Comedy",389813101.0,7.6,543141,"Bob Persichetti, Peter Ramsey, Rodney Rothman","Shameik Moore, Jake Johnson, Hailee Steinfeld, Mahershala Ali"
Star Wars: Episode VIII - The Last Jedi,2017,152,"Action, Adventure, Fantasy",620181382.0,7.0,542236,Bradley Cooper,"Lady Gaga, Bradley Cooper, Sam Elliott, Greg Grunberg"
Wonder Woman,2017,141,"Action, Adventure, Fantasy",412563408.0,7.4,530193,Peyton Reed,"Paul Rudd, Evangeline Lilly, Michael Peña, Walton Goggins"
Dunkirk,2017,106,"Action, Drama, History",188373161.0,7.9,521759,Christopher McQuarrie,"Tom Cruise, Henry Cavill, Ving Rhames, Simon Pegg"
Spider-Man: Homecoming,2017,133,"Action, Adventure, Sci-Fi",334201140.0,7.4,487695,Ron Howard,"Alden Ehrenreich, Woody Harrelson, Emilia Clarke, Donald Glover"
Get Out,2017,104,"Horror, Mystery, Thriller",176040665.0,7.7,464243,Alex Garland,"Natalie Portman, Jennifer Jason Leigh, Tessa Thompson, Benedict Wong"
It,2017,135,Horror,327481748.0,7.3,436705,J.A. Bayona,"Chris Pratt, Bryce Dallas Howard, Rafe Spall, Justice Smith"
Blade Runner 2049,2017,164,"Action, Drama, Mystery",92054159.0,8.0,433798,Brad Bird,"Craig T. Nelson, Holly Hunter, Sarah Vowell, Huck Milner"
Baby Driver,2017,113,"Action, Crime, Drama",107825862.0,7.6,414491,Ari Aster,"Toni Collette, Milly Shapiro, Gabriel Byrne, Alex Wolff"
"Three Billboards Outside Ebbing, Missouri",2017,115,"Comedy, Crime, Drama",54513740.0,8.2,403071,David Yates,"Eddie Redmayne, Katherine Waterston, Dan Fogler, Johnny Depp"
Justice League,2017,120,"Action, Adventure, Fantasy",229024295.0,6.4,366384,Spike Lee,"John David Washington, Adam Driver, Laura Harrier, Topher Grace"
The Shape of Water,2017,123,"Adventure, Drama, Fantasy",63859435.0,7.3,352755,"John Francis Daley, Jonathan Goldstein","Jason Bateman, Rachel McAdams, Kyle Chandler, Sharon Horgan"
John Wick: Chapter 2,2017,122,"Action, Crime, Thriller",92029184.0,7.5,346648,Roar Uthaug,"Alicia Vikander, Dominic West, Walton Goggins, Daniel Wu"
Coco,2017,105,"Animation, Adventure, Family",209726015.0,8.4,343627,Gary Ross,"Sandra Bullock, Cate Blanchett, Anne Hathaway, Mindy Kaling"
Jumanji: Welcome to the Jungle,2017,119,"Action, Adventure, Comedy",404515480.0,6.9,303417,Yorgos Lanthimos,"Olivia Colman, Emma Stone, Rachel Weisz, Nicholas Hoult"
Beauty and the Beast,2017,129,"Family, Fantasy, Musical",504014165.0,7.1,260859,Francis Lawrence,"Jennifer Lawrence, Joel Edgerton, Matthias Schoenaerts, Charlotte Rampling"
Kong: Skull Island,2017,118,"Action, Adventure, Fantasy",168052812.0,6.6,259426,Damien Chazelle,"Ryan Gosling, Claire Foy, Jason Clarke, Kyle Chandler"
Kingsman: The Golden Circle,2017,141,"Action, Adventure, Comedy",100234838.0,6.7,258332,Leigh Whannell,"Logan Marshall-Green, Melanie Vallejo, Steve Danielsen, Abby Craden"
Pirates of the Caribbean: Dead Men Tell No Tales,2017,129,"Action, Adventure, Fantasy",172558876.0,6.6,251178,Brad Peyton,"Dwayne Johnson, Naomie Harris, Malin Akerman, Jeffrey Dean Morgan"
Alien: Covenant,2017,122,"Horror, Sci-Fi, Thriller",74262031.0,6.4,245462,Wes Anderson,"Bryan Cranston, Koyu Rankin, Edward Norton, Bob Balaban"
Lady Bird,2017,94,"Comedy, Drama",48958273.0,7.4,222962,Travis Knight,"Hailee Steinfeld, Jorge Lendeborg Jr., John Cena, Jason Drucker"
The Greatest Showman,2017,105,"Biography, Drama, Musical",174340174.0,7.6,222006,Aneesh Chaganty,"John Cho, Debra Messing, Joseph Lee, Michelle La"
War for the Planet of the Apes,2017,140,"Action, Adventure, Drama",146880162.0,7.4,219656,"Phil Johnston, Rich Moore","John C. Reilly, Sarah Silverman, Gal Gadot, Taraji P. Henson"
Murder on the Orient Express,2017,114,"Crime, Drama, Mystery",102826543.0,6.5,200003,Drew Goddard,"Jeff Bridges, Cynthia Erivo, Dakota Johnson, Jon Hamm"
Life,2017,104,"Horror, Sci-Fi, Thriller",30234022.0,6.6,199264,Antoine Fuqua,"Denzel Washington, Pedro Pascal, Ashton Sanders, Orson Bean"
The Fate of the Furious,2017,136,"Action, Adventure, Crime",226008385.0,6.7,197144,Stefano Sollima,"Benicio Del Toro, Josh Brolin, Isabela Merced, Jeffrey Donovan"
Call Me by Your Name,2017,132,"Drama, Romance",18095701.0,7.9,194339,Paul Feig,"Anna Kendrick, Blake Lively, Henry Golding, Andrew Rannells"
Wind River,2017,107,"Crime, Drama, Mystery",33800859.0,7.7,192385,David Gordon Green,"Jamie Lee Curtis, Judy Greer, Andi Matichak, James Jude Courtney"
Ghost in the Shell,2017,107,"Action, Crime, Drama",40563557.0,6.3,189974,Adam McKay,"Christian Bale, Amy Adams, Steve Carell, Sam Rockwell"
